Concert,Phrase,Musician1,Musician2,Texture,Pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF
BorodinPart4,File1,m3,m4,H,m3_m4,1.7051004025773,0.0125043580645136,1.79797246389269,0.0066541956895512,1,1,1.75153643323499
BorodinPart4,File2,m1,m2,H,m1_m2,0.889208804298257,0.638840638034563,0.991241190417587,0.481191983979711,0,0,0.940224997357922
BorodinPart4,File2,m1,m3,H,m1_m3,1.04553602822808,0.401421953476788,0.712630147424165,0.872078959471045,0,0,0.879083087826122
BorodinPart4,File2,m1,m4,H,m1_m4,1.12359936770046,0.298615823403173,0.651700957301688,0.92469878149571,0,0,0.887650162501074
BorodinPart4,File2,m2,m3,H,m2_m3,1.40328892932921,0.0765464272556802,1.22390889284124,0.192845182291873,0,0,1.31359891108522
BorodinPart4,File2,m2,m4,H,m2_m4,1.29564846168549,0.136031536192249,0.952826328237451,0.540158329293883,0,0,1.12423739496147
BorodinPart4,File2,m3,m4,H,m3_m4,0.795848322552599,0.774297381284693,0.691798505523174,0.891975814338798,0,0,0.743823414037887
BorodinPart4,File3,m1,m2,H,m1_m2,0.787709400745366,0.782428269428358,0.637882873932094,0.932074279361187,0,0,0.71279613733873
BorodinPart4,File3,m1,m3,H,m1_m3,0.643236724155835,0.928407739798222,0.994583451693171,0.477767748573333,0,0,0.818910087924503
BorodinPart4,File3,m1,m4,H,m1_m4,0.652517334284149,0.921751687478197,0.932536527162672,0.571706781319057,0,0,0.792526930723411
BorodinPart4,File3,m2,m3,H,m2_m3,0.733350687804204,0.847572449743587,1.66762280941157,0.0171525399889832,0,1,1.20048674860789
BorodinPart4,File3,m2,m4,H,m2_m4,1.19996632560208,0.220679687406272,0.416016096152232,0.997539113616781,0,0,0.807991210877156
BorodinPart4,File3,m3,m4,H,m3_m4,1.67533287310786,0.0163302296229059,0.330994787747797,0.999729339540651,1,0,1.00316383042783
BorodinPart4,File4,m1,m2,H,m1_m2,1.06566950395385,0.375925019274858,1.61829337028157,0.02269818145266,0,1,1.34198143711771
BorodinPart4,File4,m1,m3,H,m1_m3,1.32097722152552,0.123629857477519,0.937740469361324,0.563702904487528,0,0,1.12935884544342
BorodinPart4,File4,m1,m4,H,m1_m4,0.534341852609057,0.980429178869625,1.41469165430677,0.0754313027392308,0,0,0.974516753457914
BorodinPart4,File4,m2,m3,H,m2_m3,1.34461339418502,0.109570718233358,1.46522014441511,0.0568561141414317,0,0,1.40491676930007
BorodinPart4,File4,m2,m4,H,m2_m4,1.53805738962289,0.0371368226605521,2.26424342234015,0.00022506403925107,1,1,1.90115040598152
BorodinPart4,File4,m3,m4,H,m3_m4,1.53149195368673,0.0386230607671072,0.90420719104964,0.615200545959707,1,0,1.21784957236819
BorodinPart4,File5,m1,m2,H,m1_m2,1.175824634087,0.243968506763514,2.46376711046936,0.00004787148369657,0,1,1.81979587227818
BorodinPart4,File5,m1,m3,H,m1_m3,1.56051323497831,0.0326893230285243,2.48650803518774,0.00003985683200124,1,1,2.02351063508303
BorodinPart4,File5,m1,m4,H,m1_m4,1.32345048913242,0.122520289466039,1.59386168109574,0.0266626941775243,0,1,1.45865608511408
BorodinPart4,File5,m2,m3,H,m2_m3,2.03539136868266,0.00131334226005727,1.80310945860178,0.00683388752350836,1,1,1.91925041364222
BorodinPart4,File5,m2,m4,H,m2_m4,1.59684159348446,0.0261765580663929,0.99084275160951,0.483063968500029,1,0,1.29384217254698
BorodinPart4,File5,m3,m4,H,m3_m4,2.38727930904397,0.00008823976210083,0.770982888966968,0.804098072976113,1,0,1.57913109900547
BorodinPart4,File6,m1,m2,H,m1_m2,0.71434265389449,0.869994217597273,0.847812673121784,0.700975398201682,0,0,0.781077663508137
BorodinPart4,File6,m1,m3,H,m1_m3,1.48297105738589,0.0487789261396251,0.778405651033684,0.796653947997926,1,0,1.13068835420979
BorodinPart4,File6,m1,m4,H,m1_m4,1.17171372264401,0.244667430742935,1.1612151392249,0.255963959734075,0,0,1.16646443093445
