Concert,Phrase,Musician1,Musician2,Texture,Pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF,Melody Instrument
BrahmsConcertPart2,File11,m1,m3,P,m1_m3,1.069612411,0.368116007,1.557803434,0.030588991,0,1,1.313707922,Mixed
BrahmsConcertPart2,File11,m1,m4,P,m1_m4,1.154486459,0.26288147,1.06424152,0.375444359,0,0,1.109363989,Mixed
BrahmsConcertPart2,File11,m1,m5,P,m1_m5,1.064588347,0.374968957,1.260821718,0.161900614,0,0,1.162705032,Mixed
BrahmsConcertPart2,File11,m2,m3,P,m2_m3,0.718077102,0.866470497,0.934110939,0.569243962,0,0,0.82609402,Mixed
BrahmsConcertPart2,File11,m2,m4,P,m2_m4,1.589985421,0.024943755,1.095399337,0.333975347,1,0,1.342692379,Mixed
BrahmsConcertPart2,File11,m2,m5,P,m2_m5,1.137678717,0.282043217,0.623849347,0.94308401,0,0,0.880764032,Mixed
BrahmsConcertPart2,File11,m3,m4,P,m3_m4,1.584688635,0.025802717,0.989224114,0.484294664,1,0,1.286956374,Mixed
BrahmsConcertPart2,File11,m3,m5,P,m3_m5,0.923072495,0.586413871,1.235000477,0.183234637,0,0,1.079036486,Mixed
BrahmsConcertPart2,File11,m4,m5,P,m4_m5,1.500129808,0.04363361,1.301733654,0.132062696,1,0,1.400931731,Mixed
BrahmsConcertPart1,File13,m1,m2,P,m1_m2,1.059356442,0.383492512,2.551754923,1.87E-05,0,1,1.805555682,Mixed
BrahmsConcertPart1,File13,m1,m3,P,m1_m3,1.431009802,0.067452044,1.449571302,0.06071045,0,0,1.440290552,Mixed
BrahmsConcertPart1,File13,m1,m4,P,m1_m4,2.207927754,0.00030988,1.439182274,0.064408145,1,0,1.823555014,Mixed
BrahmsConcertPart1,File13,m1,m5,P,m1_m5,0.440088555,0.996108546,1.670426607,0.015597162,0,1,1.055257581,Mixed
BrahmsConcertPart1,File13,m2,m3,P,m2_m3,2.126944539,0.000583417,0.467918387,0.993389218,1,0,1.297431463,Mixed
